pdf_filename,title,year,venue,category_candidate,category_final,relevance,include,exclude_reason,web_verified,notes_file
Reconstructing single-cell resolution from spatial transcriptomics with CellRefiner.pdf,Reconstructing single-cell resolution from spatial transcriptomics with CellRefiner,2026,Nature Communications,journal,,indirect,no,空间分辨率重建方法，不是轨迹/命运推断。,no,
"Interpretation, extrapolation and perturbation of single cells.pdf","Interpretation, extrapolation and perturbation of single cells",2026,Nature Reviews Genetics,journal,,indirect,no,综述论文，不是原始方法。,no,
Pertpy an end-to-end framework for perturbation analysis.pdf,Pertpy an end-to-end framework for perturbation analysis,2026,https://doi.org/10.1038/s41592-025-02909-7,,,unknown,pending,,no,
Integration of imaging-based and sequencing-based spatial omics mapping on the same tissue section via DBiTplus.pdf,Integration of imaging-based and sequencing-based spatial omics mapping on the same tissue section via DBiTplus,2026,https://doi.org/10.1038/s41592-025-02948-0,,,unknown,pending,,no,
CiCLoDS Joint cell clustering and gene selection for single-cell spatial transcriptomics.pdf,CiCLoDS Joint cell clustering and gene selection for single-cell spatial transcriptomics,2026,Scientific Reports,journal,,offtopic,no,聚类与基因选择方法，不是轨迹/动力学建模。,no,
SCMO a deep learning model integrating the single-cell resolution TME ecosystem and multi-omics for survival prediction in CRC patients.pdf,SCMO a deep learning model integrating the single-cell resolution TME ecosystem and multi-omics for survival prediction in CRC patients,2026,https://doi.org/10.1186/s12967-025-07417-y,,,unknown,pending,,no,
Aligned cross-modal integration and regulatory heterogeneity characterization of single-cell multiomic data with deep contrastive learning.pdf,Aligned cross-modal integration and regulatory heterogeneity characterization of single-cell multiomic data with deep contrastive learning,2026,https://doi.org/10.1186/s13073-025-01586-7,,,unknown,pending,,no,
scBench Evaluating AI Agents on Single-Cell RNA-seq Analysis.pdf,scBench Evaluating AI Agents on Single-Cell RNA-seq Analysis,2026,scBench: Evaluating AI agents on single-cell RNA-seq analysis. scBench. Advance online publication,,,unknown,pending,,no,
scREPA Predicting single-cell perturbation responses with cycle-consistent representation alignment.pdf,scREPA Predicting single-cell perturbation responses with cycle-consistent representation alignment,2026,"scREPA: Predicting single-cell perturbation responses with cycle-consistent representation alignment. Computational Biology and Chemistry, *120*(Part 2), Article 108712",,,unknown,pending,,no,
Accurate trajectory inference in time-series spatial transcriptomics with structurally-constrained optimal transport.pdf,Accurate trajectory inference in time-series spatial transcriptomics with structurally-constrained optimal transport,,,,,unknown,pending,,no,
Benchmarking algorithms for RNA velocity inference.pdf,Benchmarking algorithms for RNA velocity inference,,,,,unknown,pending,,no,
Constructing the spatiotemporal atlas of single-cell lineage trajectories in stereotypic biological structures.pdf,Constructing the spatiotemporal atlas of single-cell lineage trajectories in stereotypic biological structures,2026,iScience,journal,journal,direct,yes,,no,notes/2026__journal__iscience__scst.md
Interpretable data integration for single-cell and spatial multi-omics.pdf,Interpretable data integration for single-cell and spatial multi-omics,2026,Cell Systems,journal,,indirect,no,多组学整合与调控链接方法，不直接做轨迹/动力学。,no,
Latent Causal Diffusions for Single-Cell Perturbation Modeling.pdf,Latent Causal Diffusions for Single-Cell Perturbation Modeling,,,,,unknown,pending,,no,
Learning Genetic Perturbation Effects with Variational Causal Inference.pdf,Learning Genetic Perturbation Effects with Variational Causal Inference,,,,,unknown,pending,,no,
Multi-omics integration for both single-cell and spatially resolved data based on dual-path graph attention auto-encoder.pdf,Multi-omics integration for both single-cell and spatially resolved data based on dual-path graph attention auto-encoder,,,,,unknown,pending,,no,
"Paradigms, innovations, and biological applications of RNA velocity a comprehensive review.pdf","Paradigms, innovations, and biological applications of RNA velocity a comprehensive review",,,,,unknown,pending,,no,
Robust integration and annotation of single-cell and spatial omics data using interpretable gene programs.pdf,Robust integration and annotation of single-cell and spatial omics data using interpretable gene programs,2026,Cell Genomics,journal,,indirect,no,整合/注释框架，不是轨迹或动力学方法。,no,
Single-Cell Multi-omic Integration Compares and Contrasts Features of Brain Cell Identity.pdf,Single-Cell Multi-omic Integration Compares and Contrasts Features of Brain Cell Identity,2019,Cell,journal,,indirect,no,正式发表于 2019 年，且是多组学整合论文，不属于本批目标问题。,no,
Spatial Transcriptomics Brings New Challenges and Opportunities for Trajectory Inference.pdf,Spatial Transcriptomics Brings New Challenges and Opportunities for Trajectory Inference,,,,,unknown,pending,,no,
TiRank prioritizes phenotypic niches in tumor microenvironment for clinical biomarker discovery.pdf,TiRank prioritizes phenotypic niches in tumor microenvironment for clinical biomarker discovery,,,,,unknown,pending,,no,
Trajectory Inference with Cell–Cell Interactions (TICCI) intercellular communication improves the accuracy of trajectory inference methods.pdf,Trajectory Inference with Cell–Cell Interactions (TICCI) intercellular communication improves the accuracy of trajectory inference methods,2025,Bioinformatics,journal,journal,direct,yes,,no,notes/2025__journal__bioinformatics__ticci.md
